# #GHz real imag
5.316250000000000142e+01 4.021188977644544332e-02 3.238466579749198909e-02
5.317499999999999716e+01 5.088042213576383921e-02 1.645729492496992782e-02
5.318750000000000000e+01 5.733168367825504375e-02 -2.117081392545357155e-03
5.320000000000000284e+01 5.872279606209157565e-02 -2.227547233798112328e-02
5.321249999999999858e+01 5.474889127917015319e-02 -4.244787750747013727e-02
5.322500000000000142e+01 4.566138467551216634e-02 -6.120599397254419816e-02
5.323749999999999716e+01 3.224032866367379513e-02 -7.754553110473041966e-02
5.325000000000000000e+01 1.489666675510384689e-02 -9.074688065167126061e-02
5.326250000000000284e+01 -5.942632624392095095e-03 -9.992329854925911803e-02
5.327499999999999858e+01 -2.942801078581117058e-02 -1.036648955087202256e-01
5.328750000000000142e+01 -5.383960270194552283e-02 -1.012624669938795990e-01
5.329999999999999716e+01 -7.817290045741798199e-02 -9.174368018234019262e-02
5.331250000000000000e+01 -9.580381159150512527e-02 -7.351885717348050076e-02
5.332500000000000284e+01 -1.078905885343815207e-01 -5.947713358561630692e-02
5.333749999999999858e+01 -1.212653578053081160e-01 -4.135946203467080057e-02
5.335000000000000142e+01 -1.301760755612539622e-01 -1.878677206687183812e-02
5.336249999999999716e+01 -1.334942951542101575e-01 5.782397509032702158e-03
5.337500000000000000e+01 -1.311303870111033276e-01 3.066558201774529854e-02
5.338750000000000284e+01 -1.233345617796958726e-01 5.474145855505773567e-02
5.339999999999999858e+01 -1.102430951894087657e-01 7.697379307328661158e-02
5.341250000000000142e+01 -9.214141008257063781e-02 9.608602037982155730e-02
5.342499999999999716e+01 -6.995391296948903770e-02 1.106208044709961202e-01
5.343750000000000000e+01 -4.528441360144350170e-02 1.198788177062696803e-01
5.345000000000000284e+01 -1.918894167109026772e-02 1.236401858320044511e-01
5.346249999999999858e+01 7.421392478681922839e-03 1.216162498947593873e-01
5.347500000000000142e+01 3.298584487075017363e-02 1.135723562588689256e-01
5.348749999999999716e+01 5.617554361123863749e-02 1.002008706623338102e-01
5.350000000000000000e+01 7.577480785815841891e-02 8.186424860720788177e-02
5.351250000000000284e+01 9.070018089225301283e-02 6.000566641662555961e-02
5.352499999999999858e+01 1.006001794242501468e-01 3.541132123962492662e-02
5.353750000000000142e+01 1.047878083146768224e-01 9.139660414053696683e-03
5.354999999999999716e+01 1.028327694282629851e-01 -1.736156627311510534e-02
5.356250000000000000e+01 9.494856016219228867e-02 -4.236703167268200676e-02
5.357500000000000284e+01 8.185873598837589693e-02 -6.468421852152553275e-02
5.358749999999999858e+01 6.440788233403563212e-02 -8.339007259533293137e-02
5.360000000000000142e+01 4.317715981541175863e-02 -9.769752143019787283e-02
5.361249999999999716e+01 1.932655910421015449e-02 -1.066292267043756348e-01
5.362500000000000000e+01 -5.725559975352142658e-03 -1.098225401174704463e-01
5.363750000000000284e+01 -3.046050742474791864e-02 -1.070004527626752799e-01
5.364999999999999858e+01 -5.345223193392182465e-02 -9.882333464468236184e-02
5.366250000000000142e+01 -7.397168394845082817e-02 -8.593516845054549602e-02
5.367499999999999716e+01 -9.106510077452058260e-02 -6.855246965272847326e-02
5.368750000000000000e+01 -1.033447245629511430e-01 -4.766374759757027735e-02
5.370000000000000284e+01 -1.103394919196174773e-01 -2.472736474562611461e-02
5.371249999999999858e+01 -1.121325072141564072e-01 -9.267652565562889844e-04
5.372500000000000142e+01 -1.087133971715898151e-01 2.374429622701623721e-02
5.373749999999999716e+01 -9.691046764902751243e-02 4.799443356094772878e-02
